restaurant_id,name,lat,lng,zone_id,zone_name
R-0241,Joshi Upahar Gruha,18.5067125,73.8284664,0,Hinjewadi
R-0242,Pahunchar Swayampak Ghar,18.4992194,73.8312585,0,Hinjewadi
R-0243,Anna Vada,18.4596955,73.8244636,5,Kharadi
R-0244,Rohit Wadevale,18.4593565,73.8236272,5,Kharadi
R-0245,Shiv Shambho Vadapav and Snacks Centre,18.4601706,73.8258956,5,Kharadi
R-0246,Shree Hari Bhel,18.4607938,73.8253909,5,Kharadi
R-0247,Hotel Al-ZAIKA,18.4610239,73.8258406,5,Kharadi
R-0248,Amrut Bhel,18.4614551,73.8133512,5,Kharadi
R-0249,Om Sai Hotel,18.4669663,73.8205367,5,Kharadi
R-0250,Shrinath Snacks and Cafe Point,18.4606531,73.8238887,5,Kharadi
R-0251,Balle Balle Punjabi,18.5921016,73.7847009,1,Baner
R-0252,Al Zaika,18.5920457,73.7846808,1,Baner
R-0253,The Breakfast Box,18.5919415,73.7844945,1,Baner
R-0254,Pradnya Resturant,18.4923919,73.8542599,0,Hinjewadi
R-0255,Hotel chul angan,18.4596992,73.8011789,5,Kharadi
R-0256,UpSouth Undri,18.4564763,73.9128604,4,Wakad
R-0257,Sante Spa Cuisine,18.5333049,73.88742,2,Kothrud
R-0258,Irani Cafe,18.5234091,73.9318397,2,Kothrud
R-0259,The Cult,18.5200093,73.919858,2,Kothrud
R-0260,Reddys Restaurant Kalyani Nagar,18.5436432,73.8990145,2,Kothrud
R-0261,Restaurant 261,18.5248153,73.8416321,0,Hinjewadi
R-0262,jyoti,18.4645612,73.8792226,4,Wakad
R-0263,Lalit Mahal,18.5284491,73.8427597,0,Hinjewadi
R-0264,Largo Pizza,18.4810338,73.9024651,4,Wakad
R-0265,Tandoor Point,18.5403938,73.8303164,0,Hinjewadi
R-0266,Shree Krishna Veg Court,18.5652962,73.9180346,2,Kothrud
R-0267,The Verandah,18.5049649,73.8314747,0,Hinjewadi
R-0268,Hotel Peacock,18.504806,73.855013,0,Hinjewadi
R-0269,Kwality Resto Bar & Restaurant,18.5087947,73.8352105,0,Hinjewadi
R-0270,Girija Juice Bar,18.5060971,73.8523384,0,Hinjewadi
R-0271,Restaurant 271,18.5092879,73.8490814,0,Hinjewadi
R-0272,Hotel Mirch Masala,18.4935627,73.814064,3,Viman Nagar
R-0273,Ganjraj,18.5091877,73.8539352,0,Hinjewadi
R-0274,Mathura,18.5189279,73.8446593,0,Hinjewadi
R-0275,Barometer,18.4988618,73.8192031,3,Viman Nagar
R-0276,Bacharika Kitchen & Bar,18.5027208,73.8170739,3,Viman Nagar
R-0277,signature,18.521665,73.8717493,2,Kothrud
R-0278,New Poona Boarding House,18.5116828,73.8486243,0,Hinjewadi
